id,age,gender,race,driving_experience,education,income,credit_score,vehicle_ownership,vehicle_year,married,children,postal_code,annual_mileage,vehicle_type,speeding_violations,DUIs,past_accidents,outcome
320444,26-39,male,majority,0-9y,none,poverty,0.308649018,FALSE,before 2015,FALSE,TRUE,10238,14000,sedan,0,0,0,FALSE
305793,16-25,male,majority,0-9y,high school,poverty,0.245835185,FALSE,before 2015,TRUE,TRUE,10238,11000,sedan,0,0,0,TRUE
362190,16-25,male,majority,0-9y,high school,poverty,0.305646519,FALSE,before 2015,FALSE,FALSE,10238,14000,sedan,0,0,0,TRUE
62647,26-39,male,majority,10-19y,high school,upper class,0.744014086,TRUE,before 2015,FALSE,FALSE,10238,13000,sedan,2,0,1,FALSE
296948,40-64,male,majority,10-19y,university,upper class,0.670464547,TRUE,after 2015,TRUE,TRUE,10238,14000,sedan,0,0,0,FALSE
673660,65+,female,majority,30y+,high school,upper class,0.683040798,FALSE,after 2015,TRUE,TRUE,10238,10000,sedan,4,1,3,FALSE
945867,16-25,male,majority,0-9y,university,middle class,0.828628569,TRUE,before 2015,FALSE,FALSE,10238,13000,sedan,0,0,0,TRUE
391880,65+,male,majority,30y+,none,middle class,,TRUE,before 2015,TRUE,TRUE,32765,10000,sedan,12,2,2,FALSE
241973,65+,female,majority,30y+,high school,upper class,0.629338094,TRUE,before 2015,TRUE,FALSE,10238,11000,sedan,2,0,2,FALSE
429503,16-25,male,majority,0-9y,high school,poverty,0.283724211,FALSE,before 2015,FALSE,TRUE,10238,15000,sedan,0,0,0,TRUE
810013,16-25,male,majority,0-9y,university,working class,0.457648682,TRUE,after 2015,FALSE,FALSE,10238,14000,sports car,0,0,0,TRUE
663458,16-25,female,majority,0-9y,high school,poverty,0.304987642,FALSE,before 2015,FALSE,FALSE,10238,15000,sedan,0,0,0,TRUE
879976,16-25,male,majority,0-9y,high school,working class,0.551744288,FALSE,before 2015,TRUE,TRUE,32765,10000,sedan,0,0,0,TRUE
418841,16-25,male,minority,0-9y,none,poverty,0.318685556,TRUE,before 2015,TRUE,FALSE,32765,9000,sedan,0,0,0,TRUE
542236,26-39,male,minority,10-19y,none,working class,0.436944194,TRUE,before 2015,FALSE,FALSE,10238,12000,sedan,3,0,0,FALSE
937573,40-64,male,majority,10-19y,university,upper class,0.629193984,TRUE,before 2015,TRUE,TRUE,32765,7000,sedan,5,0,1,FALSE
670850,16-25,male,majority,0-9y,university,working class,0.405560016,TRUE,before 2015,FALSE,FALSE,10238,17000,sedan,0,0,0,TRUE
151252,16-25,male,majority,0-9y,university,middle class,0.623546212,TRUE,before 2015,TRUE,FALSE,10238,11000,sedan,0,0,0,FALSE
706349,65+,male,majority,10-19y,university,upper class,0.72703299,TRUE,before 2015,TRUE,TRUE,10238,10000,sedan,1,1,2,FALSE
602998,65+,male,majority,20-29y,none,working class,0.426828389,TRUE,before 2015,TRUE,FALSE,10238,14000,sedan,3,1,7,FALSE
242772,26-39,female,majority,10-19y,none,middle class,0.50365897,TRUE,before 2015,FALSE,TRUE,10238,10000,sedan,1,2,0,FALSE
393449,26-39,female,majority,10-19y,high school,middle class,,FALSE,before 2015,FALSE,FALSE,10238,12000,sedan,2,0,0,FALSE
380740,65+,male,majority,30y+,university,upper class,0.726440002,TRUE,after 2015,TRUE,TRUE,10238,7000,sedan,2,0,3,FALSE
938115,16-25,female,majority,0-9y,none,poverty,0.244490093,FALSE,before 2015,FALSE,TRUE,32765,,sedan,0,0,0,TRUE
727943,16-25,male,majority,0-9y,university,middle class,0.575770797,TRUE,before 2015,FALSE,FALSE,10238,11000,sedan,0,0,0,TRUE
766309,16-25,male,majority,0-9y,high school,poverty,,FALSE,before 2015,FALSE,FALSE,10238,10000,sports car,0,0,0,TRUE
261229,16-25,male,majority,0-9y,university,working class,0.468671966,TRUE,after 2015,FALSE,TRUE,32765,9000,sedan,0,0,0,TRUE
60866,65+,male,majority,20-29y,university,upper class,0.697083456,FALSE,after 2015,FALSE,TRUE,10238,13000,sedan,3,0,2,FALSE
752797,40-64,female,majority,20-29y,high school,working class,0.542918108,TRUE,before 2015,FALSE,FALSE,10238,15000,sedan,1,1,0,FALSE
45002,65+,male,majority,30y+,high school,upper class,0.672256254,TRUE,before 2015,TRUE,TRUE,10238,9000,sedan,4,1,2,FALSE
482448,16-25,male,majority,0-9y,none,poverty,0.386406619,FALSE,before 2015,FALSE,FALSE,32765,8000,sedan,0,0,0,TRUE
549142,16-25,male,majority,0-9y,university,middle class,0.551297833,TRUE,before 2015,TRUE,TRUE,10238,12000,sedan,0,0,0,TRUE
95138,40-64,male,majority,20-29y,high school,middle class,0.598557025,FALSE,after 2015,TRUE,FALSE,10238,14000,sedan,4,1,4,FALSE
851152,26-39,female,majority,10-19y,none,working class,,FALSE,before 2015,TRUE,TRUE,10238,,sedan,0,0,1,FALSE
615991,40-64,female,majority,20-29y,high school,upper class,0.582421995,TRUE,after 2015,TRUE,TRUE,10238,11000,sedan,2,0,1,FALSE
424820,26-39,female,minority,10-19y,high school,middle class,0.540182723,TRUE,before 2015,TRUE,TRUE,10238,,sedan,0,0,1,FALSE
807847,65+,male,majority,20-29y,university,upper class,0.633013948,TRUE,after 2015,FALSE,TRUE,10238,14000,sedan,3,1,4,FALSE
758983,40-64,male,majority,20-29y,high school,middle class,0.55220463,TRUE,after 2015,TRUE,FALSE,32765,12000,sedan,6,0,3,FALSE
987114,26-39,female,majority,0-9y,university,middle class,0.32668161,FALSE,before 2015,FALSE,FALSE,10238,16000,sedan,0,0,0,TRUE
873457,40-64,male,minority,20-29y,high school,middle class,0.588082542,TRUE,before 2015,TRUE,TRUE,10238,13000,sedan,7,1,1,FALSE
699703,65+,female,majority,0-9y,university,upper class,0.702274802,FALSE,before 2015,TRUE,TRUE,92101,10000,sedan,0,0,0,TRUE
563342,65+,female,majority,0-9y,university,upper class,0.726605539,TRUE,before 2015,FALSE,TRUE,10238,13000,sedan,0,0,0,FALSE
504412,26-39,male,majority,10-19y,university,working class,,FALSE,before 2015,TRUE,TRUE,10238,12000,sedan,3,2,3,TRUE
284106,65+,male,majority,30y+,university,upper class,0.732382121,TRUE,before 2015,TRUE,TRUE,10238,12000,sedan,5,1,5,FALSE
78189,16-25,female,majority,0-9y,none,poverty,0.201283921,TRUE,before 2015,FALSE,FALSE,32765,12000,sedan,0,0,0,TRUE
427520,26-39,male,majority,10-19y,university,middle class,0.464160708,FALSE,before 2015,FALSE,FALSE,10238,16000,sedan,0,1,0,FALSE
689030,40-64,female,majority,20-29y,university,upper class,0.657967743,TRUE,after 2015,TRUE,FALSE,92101,13000,sedan,1,0,1,FALSE
966467,65+,male,majority,30y+,university,upper class,0.600216155,TRUE,before 2015,TRUE,TRUE,10238,13000,sedan,5,2,4,FALSE
288712,65+,male,majority,30y+,university,upper class,0.666376018,TRUE,after 2015,TRUE,TRUE,10238,12000,sedan,3,0,7,FALSE
228114,26-39,male,majority,0-9y,high school,working class,0.40314728,TRUE,before 2015,TRUE,TRUE,10238,10000,sedan,0,0,0,FALSE
63715,65+,male,majority,20-29y,university,upper class,0.416935044,TRUE,before 2015,FALSE,TRUE,10238,13000,sedan,5,1,5,FALSE
624077,65+,female,majority,30y+,none,upper class,0.594879714,TRUE,before 2015,TRUE,TRUE,32765,8000,sports car,10,0,1,FALSE
726352,26-39,male,minority,10-19y,none,poverty,0.380426503,FALSE,before 2015,TRUE,TRUE,10238,16000,sedan,1,0,1,FALSE
150072,16-25,female,majority,0-9y,none,poverty,,FALSE,before 2015,FALSE,FALSE,21217,14000,sedan,0,0,0,TRUE
792396,65+,female,majority,30y+,university,upper class,0.680617632,TRUE,before 2015,TRUE,TRUE,10238,12000,sedan,1,2,2,FALSE
768933,40-64,male,minority,0-9y,high school,working class,0.35595047,TRUE,before 2015,FALSE,TRUE,10238,16000,sedan,0,0,0,TRUE
452356,40-64,female,majority,10-19y,none,middle class,,TRUE,before 2015,FALSE,TRUE,32765,10000,sedan,2,0,0,FALSE
849811,65+,female,minority,30y+,high school,upper class,0.587831426,TRUE,after 2015,TRUE,FALSE,32765,,sports car,3,0,1,FALSE
579336,65+,female,majority,10-19y,university,upper class,0.573388043,TRUE,after 2015,TRUE,TRUE,10238,10000,sedan,0,0,2,FALSE
648922,16-25,male,majority,0-9y,university,middle class,0.296406283,TRUE,before 2015,FALSE,FALSE,10238,13000,sedan,0,0,0,TRUE
47909,65+,male,majority,10-19y,university,upper class,0.429509699,TRUE,before 2015,TRUE,TRUE,10238,10000,sedan,1,0,4,FALSE
619577,65+,female,majority,30y+,university,upper class,0.688568719,TRUE,after 2015,FALSE,TRUE,92101,11000,sedan,2,0,0,FALSE
212678,65+,female,majority,20-29y,university,upper class,0.700017432,TRUE,after 2015,FALSE,TRUE,32765,13000,sedan,1,0,1,FALSE
579720,26-39,male,majority,10-19y,university,working class,0.449588631,FALSE,before 2015,FALSE,TRUE,10238,,sports car,0,0,1,TRUE
995884,40-64,female,majority,20-29y,university,upper class,0.690045582,TRUE,after 2015,TRUE,FALSE,10238,11000,sedan,2,1,1,FALSE
226326,40-64,female,minority,10-19y,university,working class,0.496029873,TRUE,after 2015,FALSE,FALSE,10238,13000,sedan,0,0,1,FALSE
943922,26-39,male,majority,10-19y,university,upper class,0.656345763,FALSE,after 2015,TRUE,TRUE,32765,6000,sedan,8,0,0,FALSE
510116,40-64,male,majority,0-9y,high school,middle class,0.498356626,TRUE,after 2015,FALSE,TRUE,10238,12000,sedan,0,0,0,FALSE
536546,16-25,female,majority,0-9y,university,middle class,0.546382543,TRUE,before 2015,TRUE,TRUE,10238,12000,sedan,0,0,0,FALSE
75592,40-64,female,majority,10-19y,high school,working class,0.315862877,TRUE,before 2015,FALSE,TRUE,10238,11000,sedan,0,0,1,FALSE
487116,26-39,male,majority,10-19y,none,working class,0.530064317,TRUE,before 2015,FALSE,FALSE,10238,,sedan,1,0,2,TRUE
936820,26-39,female,majority,10-19y,high school,working class,0.357839172,TRUE,before 2015,FALSE,TRUE,32765,12000,sedan,1,0,0,TRUE
634050,65+,male,majority,10-19y,university,upper class,0.672756053,TRUE,after 2015,TRUE,TRUE,10238,9000,sedan,1,0,2,FALSE
307397,40-64,male,majority,20-29y,university,upper class,0.741999376,TRUE,after 2015,FALSE,TRUE,10238,,sedan,2,0,2,FALSE
558748,65+,female,majority,30y+,university,upper class,0.622651979,TRUE,after 2015,TRUE,TRUE,10238,11000,sedan,1,0,0,FALSE
856630,16-25,female,majority,0-9y,high school,middle class,0.480140668,FALSE,after 2015,FALSE,FALSE,32765,14000,sedan,0,0,0,TRUE
200009,65+,male,majority,30y+,university,upper class,0.678795431,TRUE,after 2015,TRUE,TRUE,10238,11000,sedan,5,1,3,FALSE
784462,65+,male,majority,30y+,university,upper class,,TRUE,before 2015,TRUE,TRUE,32765,10000,sedan,13,1,6,FALSE
792252,40-64,female,majority,20-29y,university,upper class,0.515246708,TRUE,after 2015,FALSE,TRUE,10238,12000,sedan,2,0,1,FALSE
462586,26-39,male,majority,10-19y,none,working class,0.489920599,TRUE,before 2015,FALSE,TRUE,10238,13000,sedan,3,0,1,FALSE
577965,65+,male,majority,30y+,high school,middle class,0.421957949,TRUE,before 2015,FALSE,TRUE,10238,11000,sedan,4,0,6,FALSE
818248,40-64,male,majority,20-29y,university,upper class,0.58435485,TRUE,before 2015,FALSE,FALSE,10238,,sedan,1,0,2,FALSE
491438,16-25,male,majority,0-9y,none,poverty,,FALSE,before 2015,FALSE,FALSE,10238,9000,sedan,0,0,0,TRUE
896587,65+,female,majority,30y+,high school,upper class,0.55815697,TRUE,after 2015,FALSE,TRUE,10238,14000,sedan,0,0,0,FALSE
431538,16-25,male,majority,0-9y,high school,poverty,0.194149548,FALSE,before 2015,TRUE,FALSE,10238,12000,sports car,0,0,0,TRUE
164516,16-25,male,majority,0-9y,high school,poverty,0.30049733,FALSE,before 2015,FALSE,FALSE,10238,13000,sedan,0,0,0,TRUE
479577,40-64,female,majority,20-29y,university,upper class,0.667090692,TRUE,after 2015,TRUE,TRUE,10238,7000,sedan,4,0,0,FALSE
395233,40-64,male,majority,0-9y,high school,upper class,0.613072408,TRUE,before 2015,TRUE,FALSE,10238,,sedan,0,0,0,TRUE
221838,40-64,male,majority,10-19y,university,upper class,,TRUE,after 2015,TRUE,FALSE,10238,11000,sedan,3,0,2,FALSE
938476,26-39,male,minority,10-19y,high school,middle class,0.595281763,TRUE,before 2015,TRUE,TRUE,32765,8000,sedan,1,0,1,FALSE
112454,26-39,male,majority,0-9y,none,poverty,0.348235788,FALSE,before 2015,TRUE,TRUE,32765,7000,sedan,0,0,0,TRUE
91246,26-39,male,majority,10-19y,high school,working class,0.356639671,TRUE,after 2015,TRUE,TRUE,10238,8000,sedan,3,0,1,FALSE
2743,26-39,female,majority,10-19y,none,working class,0.348659127,FALSE,before 2015,TRUE,FALSE,21217,12000,sedan,0,0,0,TRUE
248888,40-64,male,majority,0-9y,high school,middle class,0.559468486,TRUE,before 2015,FALSE,TRUE,32765,12000,sedan,0,0,0,TRUE
195523,16-25,male,majority,0-9y,high school,poverty,0.514483731,FALSE,before 2015,FALSE,FALSE,10238,12000,sedan,0,0,0,TRUE
981926,40-64,female,majority,20-29y,university,upper class,0.562638406,TRUE,after 2015,FALSE,TRUE,10238,13000,sedan,2,1,0,FALSE
593426,40-64,male,majority,20-29y,university,middle class,0.571724625,TRUE,before 2015,FALSE,TRUE,32765,15000,sedan,2,2,1,FALSE
